SNO,text,category,priority
1,I can't log into WiFi from my tablet. It returns ERR-9999.,Hardware,critical
2,Database keeps crashing on my printer. Code ERR-9999.,Hardware,high
3,Outlook fails to load on my laptop showing ERR42.,Hardware,high
4,"I am unable to access Zoom on my desktop, it shows error ERR42.",Account,high
5,"I am unable to access CRM Portal on my laptop, it shows error 0x80070005.",Other,high
6,"I am unable to access Active Directory on my tablet, it shows error ERR-9999.",Network,low
7,Teams fails to load on my server showing AUTH-007.,Other,medium
8,Active Directory keeps crashing on my server. Code 0xC004F012.,Hardware,high
9,Salesforce fails to load on my desktop showing 0xC004F012.,Account,high
10,There is a problem with Email on the server. Error: TIMEOUT-22.,Software,critical
11,Salesforce keeps crashing on my printer. Code ERR42.,Other,high
12,My laptop stopped working when I tried to use VPN. Error displayed: 0x80070005.,Hardware,high
13,I can't log into Teams from my tablet. It returns TIMEOUT-22.,Other,critical
14,My desktop stopped working when I tried to use Outlook. Error displayed: 0xC004F012.,Hardware,high
15,Teams fails to load on my laptop showing NET-503.,Account,critical
16,My desktop stopped working when I tried to use Teams. Error displayed: 0x80070005.,Hardware,high
17,My printer stopped working when I tried to use Email. Error displayed: NET-503.,Hardware,critical
18,"I am unable to access Email on my mobile, it shows error 0xC004F012.",Hardware,high
19,There is a problem with CRM Portal on the printer. Error: AUTH-007.,Hardware,medium
20,Outlook keeps crashing on my laptop. Code NET-503.,Other,critical
21,My laptop stopped working when I tried to use CRM Portal. Error displayed: 0xC004F012.,Other,high
22,Zoom keeps crashing on my laptop. Code FAIL-101.,Software,high
23,My printer stopped working when I tried to use Outlook. Error displayed: ERR-9999.,Account,medium
24,My printer stopped working when I tried to use WiFi. Error displayed: FAIL-101.,Software,high
25,My server stopped working when I tried to use Salesforce. Error displayed: AUTH-007.,Network,medium
26,Outlook keeps crashing on my router. Code ERR42.,Account,medium
27,Zoom fails to load on my server showing TIMEOUT-22.,Network,critical
28,"I am unable to access CRM Portal on my printer, it shows error FAIL-101.",Other,high
29,There is a problem with Outlook on the tablet. Error: ERR-9999.,Account,critical
30,There is a problem with Salesforce on the desktop. Error: FAIL-101.,Account,high
31,My router stopped working when I tried to use Outlook. Error displayed: AUTH-007.,Account,medium
32,There is a problem with WiFi on the printer. Error: TIMEOUT-22.,Hardware,critical
33,I can't log into Zoom from my laptop. It returns 0xC004F012.,Other,high
34,I can't log into Email from my router. It returns AUTH-007.,Software,medium
35,WiFi keeps crashing on my server. Code TIMEOUT-22.,Account,critical
36,Email fails to load on my router showing AUTH-007.,Account,medium
37,Outlook keeps crashing on my printer. Code 0x80070005.,Other,high
38,I can't log into WiFi from my desktop. It returns AUTH-007.,Other,medium
39,"I am unable to access Active Directory on my printer, it shows error FAIL-101.",Account,high
40,Email keeps crashing on my printer. Code NET-503.,Other,critical
41,There is a problem with Email on the desktop. Error: 0xC004F012.,Other,high
42,I can't log into Salesforce from my mobile. It returns ERR-9999.,Hardware,high
43,My tablet stopped working when I tried to use Active Directory. Error displayed: ERR42.,Network,critical
44,"I am unable to access Outlook on my server, it shows error AUTH-007.",Other,medium
45,My printer stopped working when I tried to use Teams. Error displayed: FAIL-101.,Account,high
46,I can't log into WiFi from my laptop. It returns AUTH-007.,Account,medium
47,"I am unable to access Active Directory on my laptop, it shows error NET-503.",Hardware,critical
48,WiFi fails to load on my mobile showing 0xC004F012.,Network,high
49,"I am unable to access Teams on my desktop, it shows error FAIL-101.",Account,high
50,"I am unable to access Email on my printer, it shows error FAIL-101.",Network,high
51,My printer stopped working when I tried to use VPN. Error displayed: 0x80070005.,Hardware,high
52,My desktop stopped working when I tried to use Active Directory. Error displayed: 0x80070005.,Hardware,high
53,There is a problem with CRM Portal on the server. Error: 0xC004F012.,Other,high
54,My desktop stopped working when I tried to use VPN. Error displayed: ERR-9999.,Account,critical
55,"I am unable to access Teams on my tablet, it shows error 0xC004F012.",Network,high
56,Active Directory fails to load on my laptop showing ERR-9999.,Network,high
57,My printer stopped working when I tried to use Zoom. Error displayed: AUTH-007.,Other,medium
58,VPN keeps crashing on my printer. Code ERR42.,Account,high
59,I can't log into Outlook from my printer. It returns ERR42.,Software,high
60,"I am unable to access Outlook on my mobile, it shows error ERR-9999.",Network,critical
61,"I am unable to access Zoom on my router, it shows error AUTH-007.",Network,medium
62,I can't log into Database from my laptop. It returns ERR-9999.,Other,critical
63,My tablet stopped working when I tried to use Teams. Error displayed: 0xC004F012.,Account,high
64,Salesforce fails to load on my mobile showing FAIL-101.,Account,high
65,Teams keeps crashing on my server. Code AUTH-007.,Account,medium
66,There is a problem with Email on the mobile. Error: 0xC004F012.,Hardware,high
67,I can't log into Outlook from my laptop. It returns ERR-9999.,Other,high
68,There is a problem with Zoom on the mobile. Error: NET-503.,Other,critical
69,"I am unable to access WiFi on my mobile, it shows error FAIL-101.",Other,high
70,VPN fails to load on my printer showing FAIL-101.,Hardware,high
71,There is a problem with Salesforce on the printer. Error: AUTH-007.,Account,medium
72,There is a problem with Teams on the tablet. Error: NET-503.,Software,critical
73,Email keeps crashing on my tablet. Code 0xC004F012.,Account,high
74,My tablet stopped working when I tried to use VPN. Error displayed: TIMEOUT-22.,Other,critical
75,Database fails to load on my desktop showing AUTH-007.,Other,medium
76,VPN keeps crashing on my printer. Code ERR42.,Network,medium
77,There is a problem with Outlook on the mobile. Error: NET-503.,Other,critical
78,There is a problem with Zoom on the router. Error: FAIL-101.,Network,high
79,I can't log into Salesforce from my router. It returns 0xC004F012.,Other,high
80,"I am unable to access Database on my desktop, it shows error NET-503.",Hardware,critical
81,There is a problem with Active Directory on the laptop. Error: FAIL-101.,Account,high
82,Outlook keeps crashing on my router. Code AUTH-007.,Hardware,medium
83,My tablet stopped working when I tried to use Teams. Error displayed: ERR42.,Network,low
84,"I am unable to access Zoom on my server, it shows error TIMEOUT-22.",Software,critical
85,I can't log into WiFi from my router. It returns 0x80070005.,Software,high
86,"I am unable to access Email on my desktop, it shows error TIMEOUT-22.",Account,critical
87,There is a problem with CRM Portal on the tablet. Error: ERR-9999.,Account,critical
88,I can't log into VPN from my server. It returns FAIL-101.,Account,high
89,Salesforce fails to load on my desktop showing 0x80070005.,Hardware,high
90,CRM Portal fails to load on my desktop showing NET-503.,Other,critical
91,There is a problem with Salesforce on the router. Error: 0x80070005.,Software,high
92,I can't log into Active Directory from my desktop. It returns NET-503.,Account,critical
93,"I am unable to access Email on my laptop, it shows error TIMEOUT-22.",Account,critical
